אֹפֶה,baker
בֹּקֶר,Morning
בָּשָׂר,"flesh, meat"
גֶּפֶן,vine (f)
זָכַר,To remembered‍
חָטָא,sin
יָטַב,be good‍
כּוֹס,cup
לֵאמֹר,"Saying (lit. 'to say')"
לַ֫יְלָה,Night
לְמַ֫עַן,"For the sake of, in order that"
מַדּ֫וּעַ,Why?
מֶלֶךְ,King
מַשְׁקֶה,Cupbearer
מִשְׁתֶּה,Feast
סָפַר,"To Count (Qal) / Recount, Tell (Piel)"
עוֹף,Bird
עֵץ,Tree / Wood
פָּנִים,"Face, Presence"
פָּקַד,"To Attend To, Visit, Appoint"
פָּתַר,To Interpret
פִּתְרוֹן,Interpretation
רֹאשׁ,Head
שָׁכַח,To Forget
שָׁרַת,To Serve / To Minister to (Piel)
תַּ֫וֶךְ,Midst (תֹּוךְ cst)
