אָבַד,To Perish, Be Lost
אֹ֫כֶל,Food
אֲנַ֫חנוּ,We
אֲנִי,I
אָנֹכִי,I
אַתְּ,You (F. Sg.)
אַתֶּם,You (M. Pl.)
אַתֵּ֫נָה/אַתֵּן,You (F. Pl.)
דִּבֵּר,To Speak (Piel) (Seldom in Qal)
חָזַק,To Be Strong
חָכָם,Wise (Adj.)
טֶרֶם,"Before, Not Yet"
כָּבֵד,To Be Heavy (Qal) / To Honor (Piel) / Heavy (Adj.)
כֹּהֵן,Priest
מְאֹד,"Much, Very, Greatly / Abundance"
עָלָה,To Go Up
עָנָה,"To Answer, Respond, Testify"
עַתָּה,Now
עִיר,City
פַּר,Bull (M.)
ר֫וּחַ,"Breath, Wind, Spirit"
רָעָב,"Famine, Hunger"
שָׂבָע,Plenty
שָׁנָה,Year
חֲמִישִׁי,Fifth (M.)
שִׁבְעָה,Seven (M.)
שֶׁ֫בַע,Seven (F.)
עָמַד,To Stand
פָּרָה,Cow (F.)
חֲמִישִׁית,Fifth (F.)
אַתָּה,You (M. Sg.)
עָרִים,City (Pl.)
שִׁבְעַת,Seven (Cst.)
