אֱמֶת,Truth
מָסוֹן,Harm
בַּד,"Alone (Usually Appears As לבַד, e.g., אִישׁ לְבָדוֹ 'A Man Alone' Lit. 'Acc. To His Aloneness')"
בָּחַן,To Test
בֵּין,Between
חַי,"Alive, Living"
חָיָה,To Live
חֲמוֹר / אָתוֹן (f),Donkey
יָרֵא,To Fear
יֵשׁ,"There Is, There Are (Opp. Of אַ֫יִן)"
יְשׁוּעָה,Salvation
כְּלִי,"Article, Utensil, Implement, Vessel"
כֵּן,"Honest, Right / Thus, So"
מְרַגֵּל,Spy
מִשְׁמַר,"Watch, Prison, Observance"
פָּתַח,To Open
צָרָה,Distress
קָטֹן,"Small, Little"
קָשָׁה,"To Be Hard, Harsh"
קָשֶׁה,"Hard, Harsh (Adj.)"
רֵאשִׁית,"Beginning, First"
שַׂק,"Sack, Sackcloth"
שְׁאוֹל,"Sheol, Underworld"
שָׁבַר,"To Buy / To Break"
שׁוּב,"To Turn, Return"
תְּהוֹם,"The Deep, The Ocean"
עֲשָׂרָה,Ten (M.)
עֶ֫שֶׂר,Ten (F.)
עָשָׂר (f) / עֶשְׂרֵה (m),Ten (used in compound numbers from 11-19)
עֲשֶׂ֫רֶת,Ten (cst.)
