אֵיכָה/אֵיךְ,How?
אֵפוֹ/אֵפוֹא,Then
אַל,Not (with jussive/cohortative)
בְּכִי,Weeping
בְּכוֹר,"Firstborn, Birthright"
בָּכָה,To Weep
חָמֵשׁ,Five (F.)
חֲמֵ֫שֶׁת,Five (Cst.)
חֲמִשָּׁה,Five (M.)
טַף,Children
לָמָה/לָ֫מָּה,"Why (lit. 'For What')"
מְעַט,"Little, Few"
מִי,Who?
מִנְחָה,"Offering, Grain Offering"
מִשְׁנֶה,"Double, Second"
מִשְׁקָל / מִשְׁקוֹל,Weight
עָכַר,To Trouble
פֶּה / פִּי (cst) / פִּיוֹת (.pl),Mouth
פֶּ֫תַח,"Opening, Door"
פַּ֫עַם,"Footstep / Occurrence, Instance, Time"
צָעִיר,"Young, Little"
קוּם,"To Arise, Stand"
רֵ֫עַ,"Friend, Companion"
רֶ֫גֶל,Foot
רַחֲמִים,Compassion
רָחַץ,To Wash
שָׁכַר,To Be Drunk
שָׁתָה,To Drink
תְּחִלָּה,Beginning
תָּמַהּ,To Be Astounded
תּוֹעֵבָה,Abomination
עָרַב,"To Mix / Pledge, Exchange / Be Sweet, Pleasing / To Be Evening"
שָׁכַל,"To Be Bereaved, Lose Children"
