אָסַף,To Gather
אֹ֫זֶן,Ear (F.)
אֹ֫רַח,"Way, Path"
גָּנַב,To Steal
הַר,"Mountain, Hill, Hill Country"
זָקֵן,"Old / Elder, Old Man"
חָלִ֫ילָה,Far Be It!
יֶלֶד,"Boy, Lad"
יַלְדָּה,Girl
יַמִּים,Sea (Pl.)
יָגוֹן,Sorrow
יָכֹל,To Be Able / Prevail
יָם,Sea
יוּכַל,To Be Able / Prevail (Impf.)
כֹּ֫הַ,"Strength, Might"
לְבוּשׁ,Clothing
מַעֲשֶׂה,"Deed, Thing Done"
נַ֫עַר,"Boy, Young Man"
נָפַל,To Fall
נָקִי,"Clean, Innocent (Adj.)"
עָוֹן,Iniquity
קָרַע,To Tear
קָרָה/קָרָא,To Encounter
קָשַׁר,"To Bind, Conspire"
אִמּוֹת,Mother (Pl.)
אֵם,Mother
אַחֲרִית,"End, Latter Part"
אָחוֹר,Backwards
בִּקֵּשׁ,To Seek (Piel)
זָהָב,Gold
רָדַף,"To Pursue, Persecute"
