פְּלֵיטָה,An Escape
מִשְׁכָּב,Bed
עֲגָלָה,Cart
בָּקָר,Cattle
חֵ֫לֶב,Fat
אָתוֹן,Donkey (Female)
כָּבוֹד,"Glory, Honor, Abundance"
הֵ֫נָּה,Here
בַּ֫עַל,"Lord, Master"
קֶ֫רֶב,Midst
קָרוֹב,Near (Adj.)
צַוָּאר,Neck
שׁוֹר,"Ox, Oxen"
רָצוֹן,"Pleasure, Favor"
שְׁאֵרִית,Remnant
שֵׁ֫בֶט,Staff / Tribe
אֶ֫בֶן,"Stone, Rock"
כֹּה,"Thus, Here"
רָגַז,"To Be Agitated, Excited, Tremble"
קָרַב,"To Draw Near, Approach"
שָׁכַן,To Dwell
פָּלַט,To Escape
קָבַץ,To Gather
עָזַר,To Help
נָשַׁק,To Kiss
רָכַב,"To Mount, Ride"
חוּס,To Pity
מָשַׁל,To Rule
אָמַן,"To Support, Make Firm (Qal) / To Believe (Hiph.)"
סוֹר,To Turn Aside
