אָחַז,To Hold
אֲחֻזָּה,Possession
אָסַר,To Bind
עֲבוּר (בַּעֲבוּר/כַּעֲבוּר),"For The Sake Of, On Account Of, In Order That"
גּוֹי,"Nation, Gentile"
גּוּר,"To Sojourn, Dwell"
זָבַח,"To Sacrifice, Slaughter"
זֶ֫בַח,A Sacrifice
חַיִּים,Life
חַ֫יִל,"Strength, Wealth, Army"
יָרֵךְ / יֶ֫רֶךְ (cst),"Thigh, Loin, Side"
מִקְנֶה,"Livestock, Property (from קָנָה To Aquire)"
מֶרְכָּבָה,Chariot
נָסַע,"To Set Out, Journey"
נְעוּרִים,Youth
עֶ֫רֶב,Evening
פָּרָה,To Bear Fruit
קָבַר,To Bury
קָצֶה,End
רָבָה,"To Be Many, Great"
רָכַשׁ,To Aquire
רְכוּשׁ,Goods
רָעָה,"To Shepherd, Pasture, Feed"
שָׁבַע,To Swear An Oath (Niph.) / Caust to Swear (Hiph.)
שִׁית,"To Put, Place"
אַרְבָּעִים,Forty
מֵאָה,Hundred
קֶ֫בֶר,Grave
