אוּלָם,"But, Nevertheless"
אֵל,"god, God"
אֱלֹהִים,"gods, God"
בֶּ֫רֶךְ,Knee
גָּאַל,To Redeem
הִשְׁתַּחֲוֶה,To Worship (חוה) (This is a Hishtaphel)
חָלָה,To Be Sick (Qal) / Entreat The Favor Of (Piel)
חֶ֫רֶב,Sword
יָמִין,Right
שְׂמֹאל,Left
כִּבֵּס,To Wash (Piel)
מֵאֵן,To Refuse (Piel)
מַ֫וֶת / מוֹת (cst),Death
מִטָּה,Bed
מָלֵא,To Be Full
מְלֹא,Fullness
מַלְאָךְ,"Angel, Messenger"
נַחֲלָה,"Possession, Inheritance"
עוֹלָם,"Long Duration, Antiquity, Forever"
עַם,People
פָּלַל,"To Judge, Mediate (Piel) / Pray (Hithp.)"
צִוָּה,To Command (Piel)
קָהָל,Assembly
קָוָה,To Wait For
קֶ֫שֶׁת,(Archery) Bow (f.)
רָעַע,"To Be Evil, Bad"
שַׁדַּי,The Almighty
חָבַק,Embrace (Qal or Piel)
עַמִּים,People (Pl.)
