אֹיֵב,Enemy
אֲרִי/אַרְיֵה,Lion
אָרַר,To Curse
דִּין,To Judge
זְר֫וֹעַ,"Arm, Shoulder"
חָלָב,Milk
חָלַל,"Pollute, Defile, Profane, Bore, Pierce / Begin (Hiph.)"
חָלַק,"Divide, Share / To Be Slippery, Smooth"
חֵץ,Arrow
טָרַף,"To Tear, Rip Apart (Prey)"
טֶ֫רֶף,Prey
יַ֫יִן,Wine
יַרְכָה/יְרֵכָה,"Side, Extreme Parts, Flank"
יָתַר,"To Remain Over, Have Preeminence"
יֶ֫תֶר,"Excess, Remainder"
כָּלָה,"To Be Completed, Finished"
נָחָשׁ,Serpent
נֶ֫פֶשׁ,"Soul, Self"
נָטָה,"Stretch Out, Incline, Bend"
סוֹד,Secret Counsel
עֶבְרָה,Wrath
עַז,Strong
עֹ֫רֶף,Neck
פּוּץ,To Scatter
רָבַץ,To Lie Down
רֶ֫חֶם,Womb
שָׁלָל,"Prey, Spoils, Booty"
שֵׁן,"Tooth, Ivory"
חָמָס,"Violence, Wrong"
