אֵ֫בֶל,Mourning
אָרוֹן,"Box, Ark"
גָּמַל,"To Reward, Repay / Wean"
חַטָּאת,"Sin, Sin Offering"
כּוּל,"To Provide, Contain, Support, Nourish (Piel or Hiph.)"
לוּ,"If, O That...! (Expresses A Situation That Is More Unlikely Than When Using אִם)"
מַחֲנֶה,Camp
נָא,"Please, I Pray, Now (Particle Used To Add Urgency To A Request or Admonition)"
נָחַם,"To Be Sorry, Console Oneself"
עָבַר,"To Pass By, Pass Through"
עֵ֫בֶר,"Other Side, Beyond"
עֶ֫צֶם,"Bone, Substance / Self"
פָּרָשׁ,"Horse, Horseman"
פֶּ֫שַׁע,Transgression
רֶ֫כֶב,Chariot(s)
רָפָא,To Heal
רַק,Only
שִׁבְעִים,Seventy
