זֶה,this (m. sg.)
זֹאת,this (f. sg.)
אֵ֫לֶּה,these (pl.)
הוּא,that (m. sg.)
הִיא,that (f. sg.)
הֵם or הֵ֫מָּה,those (m. pl.)
הֵן or הֵ֫נָּה,those” (f. pl.)
אָכַל,he ate‍
אִם,if (אִם...אִם = whether ... or)
בֵּן,"son, descendant‍ (pl. בָנִים)"
בּוֺר,pit
הָיָה,to be
הִנֵּה,"""Behold"", expresses surprise"
הָרַג,Qal: kill
דֶּרֶךְ,"way, road"
דָּם,blood
גָּדַל,"be great, wealthy"
טוֹב,"good, pleasing‍"
חָשַׁב,think
כֶּסֶף,"money, silver‍ (accent on 1st syllable)"
כֹּל,"all, every, whole‍"
יוֹם,"day, time, lifetime‍ (pl. יָמִים)"
יָד,"hand, power (f)"
מָכַר,to sell
מוּת,die
לָקַח,to take
שִׂים,"put, place‍"
רַע,"evil, bad"
שָׁפַךְ,"pour out, shed"
שָׁמַע,he heard
קוֹל,"voice, sound"
קָרָא,"call, read aloud"
רַב,"much, great, many"
אֵין / אַיִן,there is/are not
