רִאשׁוֹן,first (f. רִאשׁוֹנָה) (#550)
שֵׁנִי,second (f. שֵׁנִית) (#406)
שְׁלִישִׁי,third (f. שְׁלִישִׁית) (#443)
רְבִיעִי,fourth (f. רְבִיעִית) (#410)
חֲמִישִׁי,fifth (f. חֲמִישִׁית) (#420)
שִׁשִּׁי,sixth (f. שִׁשִּׁית) (#485)
שְׁבִיעִי,seventh (f. שְׁבִיעִית) (#114)
שְׁמִינִי,eighth (f. שְׁמִינִית) (#561)
תְּשִׁיעִי,ninth (f. תְּשִׁיעִית)
עֲשִׂירִי,tenth (f. עֲשִׂירִית) (#434)
אֶחָד,one (f. אַחַת) (#373)
שְׁנַ֫יִם,two (f. שְׁתַּ֫יִם) (#406)
שְׁלֹושָׁה,three (f. שָׁלֹושׁ) (#443)
אַרְבָּעָה,four (f. אַרְבָּע) (#410)
חֲמִשָּׁה,five (f. חָמֵשׁ) (#420)
שִׁשָּׁה,six (f. שֵׁשׁ) (#485)
שִׁבְעָה,seven (f. שֶׁ֫בַע) (#114)
שְׁמֹנָה,eight (f. שְׁמֹנֶה) (#561)
תִּשְׁעָה,nine (f. תֵּ֫שַׁע) (#723)
עֲשָׂרָה,ten (f. עֶ֫שֶׂר) (#434)
עֶשְׂרִים,twenty (#435)
מֵאָה,hundred (#391)
אֶ֫לֶף,thousand; cattle (#409)
רְבָבָה,"ten thousand, multitude"
רִבּוֹא,ten thousand
